fips_code,city,state
1003,Daphne,Alabama
1003,Orange Beach,Alabama
1015,Jacksonville,Alabama
1031,Enterprise,Alabama
1033,Muscle Shoals,Alabama
1039,Andalusia,Alabama
1043,Hanceville,Alabama
1045,Dothan,Alabama
1047,Selma,Alabama
1051,Deatsville,Alabama
1053,Brewton,Alabama
1055,Gadsden,Alabama
1071,Rainsville,Alabama
1073,Bessemer,Alabama
1073,Birmingham,Alabama
1073,Fairfield,Alabama
1077,Florence,Alabama
1081,Auburn University,Alabama
1083,Athens,Alabama
1083,Tanner,Alabama
1089,Huntsville,Alabama
1095,Boaz,Alabama
1097,Mobile,Alabama
1099,Monroeville,Alabama
1101,Montgomery,Alabama
1105,Marion,Alabama
1109,Troy,Alabama
1111,Wadley,Alabama
1113,Phenix City,Alabama
1117,Montevallo,Alabama
1119,Livingston,Alabama
1121,Talladega,Alabama
1123,Alexander City,Alabama
1125,Tuscaloosa,Alabama
1127,Jasper,Alabama
2020,Anchorage,Alaska
2090,Fairbanks,Alaska
2110,Juneau,Alaska
2122,Soldotna,Alaska
2170,Palmer,Alaska
2185,Barrow,Alaska
2261,Valdez,Alaska
4003,Douglas,Arizona
4005,Flagstaff,Arizona
4009,Thatcher,Arizona
4013,Avondale,Arizona
4013,Chandler,Arizona
4013,Glendale,Arizona
4013,Mesa,Arizona
4013,Phoenix,Arizona
4013,Scottsdale,Arizona
4013,"Suite B-104""",Tempe
4013,Tempe,Arizona
4015,Kingman,Arizona
4017,Holbrook,Arizona
4019,Tucson,Arizona
4021,Coolidge,Arizona
4025,Prescott,Arizona
4025,Prescott Valley,Arizona
4027,Yuma,Arizona
5005,Mountain Home,Arkansas
5007,Bentonville,Arkansas
5007,Rogers,Arkansas
5007,Siloam Springs,Arkansas
5007,Springdale,Arkansas
5009,Harrison,Arkansas
5013,Camden,Arkansas
5019,Arkadelphia,Arkansas
5027,Magnolia,Arkansas
5029,Morrilton,Arkansas
5031,Jonesboro,Arkansas
5035,West Memphis,Arkansas
5043,Monticello,Arkansas
5045,Conway,Arkansas
5051,Hot Springs,Arkansas
5055,Paragould,Arkansas
5057,Hope,Arkansas
5059,Malvern,Arkansas
5063,Batesville,Arkansas
5065,Melbourne,Arkansas
5067,Newport,Arkansas
5069,Pine Bluff,Arkansas
5071,Clarksville,Arkansas
5075,Walnut Ridge,Arkansas
5093,Blytheville,Arkansas
5107,Helena,Arkansas
5113,Mena,Arkansas
5115,Russellville,Arkansas
5119,Little Rock,Arkansas
5119,N Little Rock,Arkansas
5119,North Little Rock,Arkansas
5121,Pocahontas,Arkansas
5123,Forrest City,Arkansas
5131,Fort Smith,Arkansas
